ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state,state_abb,pre_monthly_avg,volume_tercile,log_volume,att_se,precision
IL0810800,12,32,116,2.93975525695984,2.19734215735051,3.68216835656918,8.4215575680003e-15,IL,il,3.5,High,1.50407739677627,0.378782193678232,6.92156721091347
IL0820000,6,21,44,5.00749087751714,4.34325866632112,5.67172308871316,2.09289499312192e-49,IL,il,1.5,Low,0.916290731874155,0.338893985304092,8.6319161113076
IL0820200,10,32,93,15.5108572878354,14.9948403304852,16.0268742451857,0,IL,il,1.8,Medium,1.02961941718116,0.263273957831779,14.2220853114716
IL0821600,8,21,47,-3.11811447794869,-3.87787647667238,-2.35835247922501,8.69722771354646e-16,IL,il,1.625,Medium,0.965080896043587,0.387633672818207,6.61113907916717
IL0840000,8,34,88,-7.62320453786769,-8.07014560264157,-7.1762634730938,4.93676430701597e-245,IL,il,1.375,Low,0.864997437486604,0.228031155496879,18.8685625430254
IL0840200,12,36,518,-2.57634311484974,-3.27386070767699,-1.8788255220225,4.5056141508516e-13,IL,il,7.41666666666667,High,2.13021386705326,0.355876322871041,7.83404624790195
IL0849700,10,31,100,6.05723527253318,5.57170709270111,6.54276345236525,4.78069887175295e-132,IL,il,2.8,High,1.33500106673234,0.247718459097996,16.0347800850694
IL0890100,8,31,87,-10.7219673712087,-11.7415804885283,-9.70235425388914,2.19510456759807e-94,IL,il,2.125,High,1.13943428318836,0.52021077414264,3.68162419164078
IL0900700,6,8,25,-55.9894411459334,-56.8255033478051,-55.1533789440617,0,IL,il,2.83333333333333,High,1.34373474670109,0.426562347893718,5.46581188491493
IL0900900,10,22,47,39.4013097940324,38.8496348229594,39.9529847651055,0,IL,il,1.6,Medium,0.955511445027436,0.281466821976049,12.4651642484752
IL0920000,7,23,50,-44.5951012090753,-45.3097497831415,-43.880452635009,0,IL,il,1.28571428571429,Low,0.826678573184468,0.364616619421563,7.46573530835201
IL0920300,12,36,238,-7.06082160431218,-7.63842579661731,-6.48321741200705,7.32525903242405e-127,IL,il,4.66666666666667,High,1.73460105538811,0.294696016482211,11.3835910056361
IL0990200,7,32,91,13.3108229993755,12.5359363347251,14.0857096640258,1.67610159799037e-248,IL,il,1.42857142857143,Low,0.887303195000903,0.395350339107321,6.35720267557186
IL0991100,7,21,44,13.5107253554837,12.8402358927607,14.1812148182066,0,IL,il,1.28571428571429,Low,0.826678573184468,0.342086460572934,8.47291425108715
IL1010000,10,32,82,-1.67893005680859,-2.64493003159036,-0.712930082026829,0.000657955625282515,IL,il,1.6,Medium,0.955511445027436,0.492857129990696,4.09990399095368
IL1010200,8,27,55,-14.2213603401401,-15.1166102768657,-13.3261104034144,8.02310636699095e-213,IL,il,1.5,Low,0.916290731874155,0.456760171798789,4.77031290312361
IL1010400,12,36,819,6.40382051428237,5.59129389262737,7.21634713593736,7.84519356748993e-54,IL,il,17.25,High,2.9041650800285,0.414554398803569,5.78518398477535
ILCPD0000,6,36,7050,-1.49854677852614,-2.19441203352367,-0.802681523528602,2.43369160705121e-05,IL,il,135.666666666667,High,4.91754487103024,0.35503329336609,7.87100125381442
IN0020000,19,17,101,-4.08108645521005,-4.63691988330748,-3.52525302711261,5.90440450655832e-47,IN,in,2.9,High,1.3609765531356,0.283588483723181,12.281628334232
IN0020100,30,18,397,9.34503674637326,8.78101861462862,9.90905487811789,2.43423138698147e-231,IN,in,6.5,High,2.01490302054226,0.287764352930937,11.9319891674062
IN0020200,16,8,35,24.1873966525502,23.2209745751498,25.1538187299505,0,IN,in,1.375,Low,0.864997437486604,0.493072488469576,4.09633802360638
